,username,komentar_netizen,tanggal_dibuat,clean_text
11,Kickyn1,Ibukota Myanmar yang 15 tahun lalu pindah. Semoga IKN ga bernasib sama https://t.co/DsiUWK49XN,Thu Jan 04 11:12:14 +0000 2024,ibukota myanmar pindah moga ikn nasib
12,bumn_tte_hebat,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/nsA4IPTrYS,Wed Jan 03 05:56:31 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
13,bumnpwtjitu,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. Berlokasi di Kecamatan Sepaku Kabupaten Penajam Paser Utara Kalimantan Timur. Mulai dikerjakan pada akhir tahun 2022 https://t.co/BzMoaWs2xb,Mon Jan 01 15:25:49 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara lokasi camat paku kabupaten najam paser utara kalimantan timur kerja
14,Midun_FC24,IKN adalah istana bukan pindah ibukota. Hutan itu dilestarikan bukan dijadikan hunian. Pandemi mengajari Kita bisa sebagian tugas dikerjakan melalui WFH. Jadi urgent nya pindah ibukota apa?,Thu Jan 04 07:24:42 +0000 2024,ikn istana pindah ibukota hutan lestari huni pandemi ajar tugas kerja wfh urgent nya pindah ibukota
15,ilhamkhoiri,Harapan segar bagi Indonesia tahun 2024: 1. Pemimpin baru hasil pilpres. 2. Indonesia punya ibukota baru di Kalimantan IKN. 3. Covid benar2 sudah mereda. 4. Recovery ekonomi menguat. 5. Start-up terus tumbuh lebih selektif. 6. Bonus demografi manusia usia kerja kian dominan. https://t.co/9i2HXhVfXs,Mon Jan 01 02:21:41 +0000 2024,harap segar indonesia pimpin hasil pilpres indonesia ibukota kalimantan ikn covid benar2 reda recovery ekonomi kuat startup tumbuh selektif bonus demografi manusia usia kerja kian dominan
16,Bulog_Sarko,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/JZD4sKuf0L,Wed Jan 03 02:50:58 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
17,DenDjaka14,@xopch Gatau gmn dalemanya di PBNU. Ada yg mendukung ikn aja udh gmn ‍ sygnya itu malah paketu yg bilang. Kalau pindh ibukota ke slh 1 kota Kalimantan y gw stuju. Tp bikin kota baru dri 0 yg mana lahanya udh dikuasai oleh cukong². ‍ Paketu paketu. https://t.co/NscRiXx6HV,Mon Jan 01 11:35:34 +0000 2024,bagamana dalemanya pbnu dukung ikn bagamana sygnya paketu bilang pindh ibukota kah salah kota kalimantan ya stuju bikin kota lahanya asai cukong paketu paketu
18,BantalEmak_,Klw ibukota ke IKN nanti JKT48 bakal jd IKN48 dong ?,Wed Jan 03 23:44:59 +0000 2024,ibukota kah ikn jkt48 ikn48
19,adenglukmantara,Salah satu tema yg menarik ttg debat capres adalah tentang IKN. Ibukota negara. Dulu VOC belanda itu hanya memimpikan jakarta sbg ibukota. Yg sebelumnya tlah beribukota di Ambon dn Makasar. Dimana scara politik global seolah terasingkan. Mungkin hal ini akan terjadi di IKN nanti,Thu Jan 04 14:04:06 +0000 2024,salah tema tarik debat capres ikn ibukota negara voc belanda mimpi jakarta ibukota tlah beribukota ambon makasar politik global olah asing ikn
20,MayMarch30,((((guyur ratusan triliun Rupiah uang negara utk bangun Ibukota baru (IKN).)))),Tue Jan 02 09:20:55 +0000 2024,guyur ratus triliun rupiah uang negara bangun ibukota ikn
21,NSaifuddin4,Anggaran IKN Rp 465T ibukota termodern termegah terluas sedunia jadi kebanggaan bangsa Indonesia WAN YOHANES ngibul APBD DKI Jakarta Rp 500T Hanya bisa membangun satu sekolah dan satu puskesmas.,Mon Jan 01 13:51:00 +0000 2024,anggar ikn rp 465t ibukota modern megah luas dunia bangga bangsa indonesia wan yohanes bohong apbd daerah khusus ibukota jakarta rp 500t bangun sekolah puskesmas
22,NSaifuddin4,Anggaran APBD DKI Jakarta Rp 500T selama 5 tahun Hanya bisa membangun satu sekolah dan satu puskesmas dibandingkan anggaran IKN 465T akan menjadi ibukota termodern termegah terluas sedunia jadi kebanggaan bangsa Indonesia.,Mon Jan 01 13:55:16 +0000 2024,anggar apbd daerah khusus ibukota jakarta rp 500t bangun sekolah puskesmas banding anggar ikn 465t ibukota modern megah luas dunia bangga bangsa indonesia
23,bumn_jkrt3_kuat,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. Berlokasi di Kecamatan Sepaku Kabupaten Penajam Paser Utara Kalimantan Timur.,Thu Jan 04 02:11:06 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara lokasi camat paku kabupaten najam paser utara kalimantan timur
24,jtzen_malang8,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. Berlokasi di Kecamatan Sepaku Kabupaten Penajam Paser Utara Kalimantan Timur. Mulai dikerjakan pada akhir tahun 2022,Wed Jan 03 07:04:23 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara lokasi camat paku kabupaten najam paser utara kalimantan timur kerja
25,abah_hasanuddin,Ibukota Negara sebaiknya tetap di Jakarta. IKN itu cukup jadi istana presiden seperti yg ada di Bali atau di Bogor.,Thu Jan 04 03:08:14 +0000 2024,ibukota negara jakarta ikn istana presiden bal bogor
26,snakeonthebed,Paslon no 1 menolak perubahan ibukota negara. Paslon no 2 dengar2 bapakny cawapres akan menaikan pajak pekerja demi IKN. Paslon no 3 meneruskan IKN dengan tidak membebani rakyat dan negara Jadi jelas ya #GenZ #generasiz #GenerasiGEnZ,Tue Jan 02 23:52:29 +0000 2024,paslon nomor tolak ubah ibukota negara paslon nomor dengar2 bapakny cawapres pajak kerja ikn paslon nomor ikn beban rakyat negara iya
27,TampubolonTjoki,Akal Sehat kita jadi terganggu. Luna Maya dgn IKN apa kaitannya. Kang @ridwankamil serius tanya ini. https://t.co/OT9Xwcj6QW,Thu Jan 04 04:30:55 +0000 2024,akal sehat ganggu luna maya ikn kait kang serius
28,Confused_man_0,Proyek bangunan di IKN yang sedang berproses mau dijadikan apa nantinya jika Tidak jadi pindah ibukota?? ,Thu Jan 04 13:51:18 +0000 2024,proyek bangun ikn proses pindah ibukota
29,terbahagiakan,@davidnurbianto @_BangFu Yg jelas kl 02 mnang ibukota pemerintahannya pindah pulau + di tgh hutan Skrg masih di Jkt yg gmpang disamperin buat demo nuntut hak dll aja sma mahasiswa buruh masyarakat dll gmpang bener lolos aturan ngaco kek UU ciptaker omnibus law IKN gmana ntar klo gda yg ngawasin,Tue Jan 02 16:52:32 +0000 2024,mnang ibukota perintah pindah pulau tgh hutan jakarta gmpang disamperin demo nuntut hak mahasiswa buruh masyarakat gmpang lolos atur ngaco undang ciptaker omnibus law ikn sebentar uang ngawasin
30,aspitibyan,IKN tdk akan membuat Jabodetabek jadi sepi. Percayalah! Mengapa? Karena ekonomi Jabodetabek penyumbang terbesar penggeraknya bukan berasal dari sektor pemerintahan. Jadi jangan takut ibukota pindah ke Kalimantan. Bagi kita IKN adalah soal legasi digniti &amp; keadilan psikologi.,Thu Jan 04 13:39:57 +0000 2024,ikn jabodetabek sepi percaya ekonomi jabodetabek sumbang gerak sektor perintah takut ibukota pindah kah kalimantan ikn legasi digniti amp adil psikologi
31,davidridwanbetz,Pak JOKO @jokowi kalau bapak rencana ingin kembali ke Solo ya sudah nanti biar kita saja yg tinggal dan menetap di IKN Nusantara berikut Capres yg terpilih di pilpres 2024 pokoknya ibukota baru Republik Indonesia hanya untuk orang2 bernyali Nasionalis NKRI,Wed Jan 03 10:36:14 +0000 2024,joko rencana kah solo iya biar tinggal ikn nusantara capres pilih pilpres pokok ibukota republik indonesia orang2 nyali nasionalis nkri
32,milarianbagja,@DKIJakarta Tahun ini udah bukan artis ibukota lg min.. Artis Jakarta kabupaten kecuali artisnya tinggal d IKN baru dah arris ibukota negara..,Mon Jan 01 12:13:59 +0000 2024,artis ibukota min artis jakarta kabupaten kecuali artis tinggal ikn arris ibukota negara
33,fadhlierlanda,@wdtu Entah lah. IKN emang ada dasar UU Ibukota tapi sepertinya investor butuh make sure kondisi politik berpihak pada IKN atau enggak,Thu Jan 04 07:01:21 +0000 2024,ikn dasar undang ibukota investor butuh make sure kondisi politik ikn
34,MT93990025,@tempodotco Presiden baiknya mendengar aspirasi warga DKI mslah pemindahan ibukota ke IKN..mayoritas warga menolak,Mon Jan 01 08:57:04 +0000 2024,presiden dengar aspirasi warga daerah khusus ibukota mslah pindah ibukota kah iknmayoritas warga tolak
35,aranigr,Seengaknya udah ada 2 pejabat publik yang ngancem untuk mutasi anak buahnya ke IKN kalo performanya ga menuhin ekspektasi. Jangan-jangan di alam bawah sadar kita emang masih nganggep pindah ibukota ke IKN itu langkah mundur. ,Tue Jan 02 05:51:16 +0000 2024,seengaknya jabat publik ngancem mutasi anak buah kah ikn performa menuhin ekspektasi janganjangan alam sadar nganggep pindah ibukota kah ikn langkah mundur
36,jxdnnnnnn,@RandomWorldWar @txtdrpemerintah target dengan omongan beliau ini sdm menegah kebawah ngomong ibukota tetap dijakarta menolak pindah di ikn juga target nya untuk mendapatkan suara lebih banyak lagi dari masyarakat sdm rendah,Wed Jan 03 12:54:35 +0000 2024,target omong beliau sdm tegah bicara ibukota dijakarta tolak pindah ikn target nya suara masyarakat sdm rendah
37,jari_droid,Rocky Gerung ngga mikir jauh asal beda aja dg IKN di kalimantan maka tidak lagi jawasentris... ingat jugoslavia yg hancur krn dominasi serbia... @jokowi sudah benar pindahkan ibukota ke kalimantan. https://t.co/iMUUr4hQCf,Thu Jan 04 07:49:57 +0000 2024,rocky gerung mikir beda ikn kalimantan jawasentris jugoslavia hancur dominasi serbia pindah ibukota kah kalimantan
38,ErikS_2601,@FPKSDPRRI IKN ibukota Oligarki ya kan? Ya kan??,Wed Jan 03 13:29:21 +0000 2024,ikn ibukota oligarki iya iya
39,Muhamad72756358,@tempodotco Kadang emang disengaja untuk memancing reaksi publik sampai puncak nanti tiba nongol dan merasa tersakiti untuk menarik simpati Gitu aja terus mainnya sampai IKN jd ibukota.,Tue Jan 02 08:34:39 +0000 2024,kadang sengaja pancing reaksi publik puncak nongol sakit tarik simpati main ikn ibukota
40,jimans_,@ibchyd @TGPRNM @MINDAM_RANDOM Kabarnya kalau ibukota resmi pindah ke IKN baru muncul setlist ori,Mon Jan 01 02:40:17 +0000 2024,kabar ibukota resmi pindah kah ikn muncul setlist ori
41,strwbrgurlzz,apalagi peresmian RUU DKJ ya dmn ini semua kota besar dulunya juga bukan Ibukota elah. kalau pindah Ibukota ke IKN yauda pindah aja jgn ada embel DKI diganti ke DKJ trs pemilihan gubernurnya melalui tangan presiden cok,Thu Jan 04 05:07:17 +0000 2024,resmi rancang undang dkj iya kota dulunya ibukota elah pindah ibukota kah ikn yauda pindah embel daerah khusus ibukota ganti kah dkj pilih gubernur tangan presiden cok
42,rezkymusa,@BosPurwa Sangat setuju dengan pak anis. Di perbatasan kecamatan sepaku yg menjadi lokasi IKN saja masih ada kecamatan bongan (kutai barat) yg kondisi nya memprihatinkan. Ini yg harus dibenahi dulu drpd bangun ibukota yg menguntungkan pejabat.,Wed Jan 03 14:46:29 +0000 2024,tuju anis batas camat paku lokasi ikn camat bong kuta barat kondisi nya prihatin benah bangun ibukota untung jabat
43,japra97,@prophetofzorck @ARSIPAJA Jadi IKN itu mau dibikin jadi ibukota atau jadi gulag?,Tue Jan 02 08:28:22 +0000 2024,ikn bikin ibukota gulag
44,agho690156,@tempodotco Jika nanti ibukota pundah ke ikn maka jakarta ngga akan diperbaiki ,Mon Jan 01 11:35:22 +0000 2024,ibukota pundah kah ikn jakarta
45,thinkmagination,@caratstalk kasih tau ama ni anak bentar lagi ibukota pindah ke IKN. biar ga salah lagi ,Thu Jan 04 06:30:01 +0000 2024,kasih anak sebentar ibukota pindah kah ikn biar salah
46,AdhamAd68637855,@fais21804461 Mantapp bro demi indonesia yg trus maju dgn ibukota yg baru IKN asal jgn anies,Thu Jan 04 08:30:23 +0000 2024,mantapp saudara laki indonesia maju ibukota ikn anies
47,AjenkBorneo,@NoviBudi78 @aniesbaswedan Anda g paham antara menolak pembangunan dengan menolak program kerja Anies tau betul program IKN bukan program jkw tapi program negara dari jaman bungkarno. Yg ditolak Anies adalah program kerja jkw yg terlalu naif membangun IKN &amp; memindahkan ibukota negara ke IKN dalam 5 tahun,Tue Jan 02 06:35:59 +0000 2024,paham tolak bangun tolak program kerja anies program ikn program jkw program negara jaman bungkarno tolak anies program kerja jkw naif bangun ikn amp pindah ibukota negara kah ikn
48,0b170_uch1h4,@AwamPolitikX @tempodotco Saya 01 tapi saya setuju Ibukota dipindah ke IKN agar terjadi pemerataan pembangunan. Cukup Pusat Pemerintahan yang pindah. Pusat perekonomian tetap di Daerah Khusus Jakarta.,Mon Jan 01 14:02:13 +0000 2024,tuju ibukota pindah kah ikn perata bangun pusat perintah pindah pusat ekonomi daerah khusus jakarta
49,iamputrabaguz,@DedyPitopang @aniesbubble Itu sudah dilakukan dijaman sebelum jokowi dan tdk efektif mesti ada terobosan untuk keluar menjadi negara maju. Salah satunya membuat ibukota kelas internasional seperti ikn.,Tue Jan 02 11:14:05 +0000 2024,laku jam jokowi efektif mesti terobos negara maju salah ibukota kelas internasional ikn
50,ArdaChandra10,@DanangSetyoNu10 @tempodotco Lu pikir duit 400 trilyun untuk IKN itu kecil seperti otak lu. Itupun baru membangun 10% dari IKN. Butuh ribuan trilyun agar ibukota selesai dan itu duit dari pajak rakyat. Memang susah ngasih masukan buat otak goblok.,Tue Jan 02 04:50:22 +0000 2024,pikir uang trilyun ikn otak bangun ikn butuh ribu trilyun ibukota selesai uang pajak rakyat susah masuk otak bodoh
51,xoxoboona,@caratstalk Akan jadi shock kalo Scoups jawab ibukota Indonesia IKN ,Thu Jan 04 10:26:05 +0000 2024,shock scoups ibukota indonesia ikn
52,deenarnew,@Rang900 @RcyberProj0 @Gerindra @gibran_tweet @prabowo @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 Naaahhh ini yg bener kemaren segini kan hasil surveynya kenapa cuma 43% lagi....udah 108% Pak besok tinggal pelantikan di Istana baru IKN Ibukota Koq Ngutang ,Thu Jan 04 22:23:06 +0000 2024,naaahhh kemarin gin hasil surveynya lagiudah besok tinggal lantik istana ikn ibukota ngutang
53,malaikatampan,@refuseboxjkt @LeonardusLitik @ruthnats Ya kalo elu gembel kali ciliwung mah pantes anti gusur gusur. Tiap pembangunan untuk tujuan merapihkan pasti ada yg dikorbankan. Kalo udah rusak parah + warganya bebal ya solusi Ibukota Pindah ke IKN,Tue Jan 02 07:56:31 +0000 2024,iya gembel kali ciliwung mah pantes anti gusur gusur bangun tuju merapihkan korban rusak parah warga bodoh iya solusi ibukota pindah kah ikn
54,Fadlipenyair12,@geloraco Jawabannya adalah bahwa isu ini tidak benar. Mereka (Wings dan Djarum) tetap ada dalam konsorsium untuk turut mengembangkan kawasan di IKN jawab Juru Bicara Otorita Ibukota Nusantara (OIKN) Troy Pantouw..pastihkan aja dulu kebenarannya min?,Thu Jan 04 16:32:10 +0000 2024,isu wings djarum konsorsium kembang kawasan ikn juru bicara otorita ibukota nusantara oikn troy pantouwpastihkan min
55,RidNgemil,@loveniey @tempodotco Dikira pindah ibukota lantas otomatis Jakarta gk sumpek lagi ya? Emang mau warga Jkt berbondong pindah ke IKN sana? Mengurangi kesumpekan Jakarta itu susah. Yg mungkin dilakukan adalah mencegah kesumpekan itu tambah parah.,Mon Jan 01 09:16:25 +0000 2024,pindah ibukota lantas otomatis jakarta sempit iya warga jakarta bondong pindah kah ikn sumpek jakarta susah laku cegah sumpek parah
56,bakalcalondosen,@RandomWorldWar Betul apalagi ditengah isu WW3 saat ini yg buat Indonesia butuh perkuat sektor pertahanan. Apalagi ibukota mau pindah ke IKN kalau gada alutsista bisa apa?,Thu Jan 04 07:57:28 +0000 2024,isu ww3 indonesia butuh kuat sektor tahan ibukota pindah kah ikn gada alutsista
57,leksa,@rajaminyak_oil Setengah pekerjaan IKN bisa selesai kalau kemarin nunjuk BSD jd ibukota negara baru :)),Tue Jan 02 06:36:37 +0000 2024,kerja ikn selesai kemarin nunjuk bsd ibukota negara
58,03__nakula,Waduh!! Saya mendukung pembangunan IKN dan pemindahan Ibukota negara tapi kok menurut Yusril UU IKN bermasalah. UU IKN tumpang tindih dan menabrak UU lain. #AsalBukanPrabowo #OrdeBaruReborn https://t.co/u1GLndYzW4,Wed Jan 10 00:59:32 +0000 2024,dukung bangun ikn pindah ibukota negara yusril undang ikn undang ikn tumpang tindih tabrak undang
59,electrizen_mnk,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/xZhfnW2Ncz,Wed Jan 10 10:25:07 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
60,electrizen_tpg,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/f11FZ12YQ6,Fri Jan 12 05:28:47 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
61,LUTHFANZGM_,IKN (Ibukota Nusantara) is the new capital of Indonesia https://t.co/1FiKNqCcgv,Sun Jan 14 11:12:17 +0000 2024,ikn ibukota nusantara is the new capital of indonesia
62,IDNTimesKaltim,Northern Illinois University (NIU) berencana turut membangun fasilitas pendidikan untuk mendorong program perkuliahan pascasarjana di Ibukota Nusantara (OIKN). #IDNTimesKaltim https://t.co/JIgJEl0oEO https://t.co/uhXPrSxG55,Thu Jan 11 13:36:54 +0000 2024,northern illinois university niu rencana bangun fasilitas didik dorong program kuliah pascasarjana ibukota nusantara oikn
63,Saodah1234,IKN Nusantara masih dalam proses pembangunan tetapi diprediksikan menjadi kota masa depan yang modern. IKN akan dilengkapi dgn infrastruktur kelas dunia. IKN akan menjadi ibukota yang patut dibanggakan. ___ Madrid #MUNTOT Nguyen Onana Arda Inul Vini Wadas https://t.co/HYWoK9bFzz,Sun Jan 14 23:23:06 +0000 2024,ikn nusantara proses bangun prediksi kota modern ikn lengkap infrastruktur kelas dunia ikn ibukota patut bangga madrid nguyen onana arda inul vini wadas
64,DenDjaka14,@thoriqatuna Aku stuju kalau pemindahan ibukota negara ke Kalimantan itu ke kota yg sudah ada misal Samarinda Pontianak Palangka Raya atau kota yg lainya. Agak lain dg ketua PBNU pdhal kelestarian alam kemaslahatan umat hrusny jd pertimbangan pdhl dh bnyk yg mengkritik soal ikn ini https://t.co/KJkslczW5e,Wed Jan 10 12:17:06 +0000 2024,stuju pindah ibukota negara kah kalimantan kah kota samarinda pontianak palangka raya kota lai ketua pbnu pdhal lestari alam maslahat umat hrusny timbang kritik ikn
65,fuckkshionityy,Nitip progres ibukota saya disini... Nanti kita balapan bangun ibukota sama IKN. Lesgoooo..... https://t.co/QWbJoTQH5A,Sun Jan 14 14:50:29 +0000 2024,nitip progres ibukota balap bangun ibukota ikn lesgoooo
66,karyanto_wibowo,Mendukung reforestasi kawasan @ikn_id dengan pembangunan Miniatur Hutan Hujan Tropis seluas 96 ha bekerja sama dengan Universitas Mulawarman @unmul mewujudkan Ibukota Nusantara sebagai Net Zero City di tahun 2045. #DanoneIndonesia https://t.co/7DyneLBVW7,Wed Jan 10 05:52:11 +0000 2024,dukung reforestasi kawasan bangun miniatur hutan hujan tropis luas tertawa kerja universitas mulawarman wujud ibukota nusantara net zero city
67,DikySoemarno,Ketika ibukota sudah pindah secara resmi ke IKN Jakarta akan jadi apa ya?,Wed Jan 10 06:27:35 +0000 2024,ibukota pindah resmi kah ikn jakarta iya
68,Niel_Irvingia01,Sebaiknya Pemerintah mulai Merintis mendirikan Perguruan tinggi di IKN baru agar banyak warga lokal yg terserap bekerja pd unit unit kerja di ibukota yg baru setelah lulus nantinya sehingga kesenjangan akademis antara warga lokal dan pendatang tdk begitu mencolok.,Sat Jan 13 12:19:27 +0000 2024,perintah rintis guru ikn warga lokal serap kerja unit unit kerja ibukota lulus senjang akademis warga lokal colok
69,Biburrrr,Menolak pemindahan ibukota baru. Jadi nanti orang² pks gak ada yg di IKN?,Fri Jan 12 03:40:35 +0000 2024,tolak pindah ibukota orang partai adil sejahtera ikn
70,siTaatPajak,Menolak lupa RUU DKJ setelah ibukota resmi pindah IKN gubernur JKT ditunjuk &amp; kawasan aglomerasi dikelola oleh...... ,Sat Jan 13 07:37:09 +0000 2024,tolak lupa rancang undang dkj ibukota resmi pindah ikn gubernur jakarta amp kawasan aglomerasi kelola
71,sidpras,Bpk @aniesbaswedan saya mau tanya alasan bapak ga mau pindah ke IKN itu salah satunya biar mudah didemo ya kalau ibukota tetap di Jakarta? Sulit kayaknya nanti mahasiswa kalau mau demo ke sana.. Lebih baik pindah IKN aja pak biar nanti gak didemo trus ga sumpek ya pak didemo?,Wed Jan 10 16:28:18 +0000 2024,alas pindah kah ikn salah biar mudah demo iya ibukota jakarta sulit kayak mahasiswa demo kah pindah ikn biar demo sempit iya demo
72,theiconomic,Menteri Pariwisata dan Ekonomi Kreatif Sandiga https://t.co/jrpNikrLvh mengungkapkan pengembang properti dan perhotelan asal Timur Tengah menyatakan ketertarikan untuk berinvestasi di Indonesia termasuk di Ibukota Negara Nusantara (IKN). Selengkapnya https://t.co/xPnTL2uwBm,Wed Jan 10 14:02:34 +0000 2024,menteri pariwisata ekonomi kreatif sandiga kembang properti hotel timur nyata tari investasi indonesia masuk ibukota negara nusantara ikn lengkap
73,RioPurboyo,Kamu kenal orang yang lagi banyak hutang tapi maksain beli iPhone terbaru buat gaya doang? Mirip gitulah IKN. Mungkin lupa kalau di Myanmar ada contoh yang serupa. Nama ibukota barunya Naypyidaw. Cari sendirilah banyak kok info dan sumber yang bisa diakses.,Fri Jan 12 12:01:09 +0000 2024,kenal orang hutang paksa beli iphone gaya gitulah ikn lupa myanmar contoh rupa nama ibukota naypyidaw cari informasi sumber akses
74,nchlsmnrng,Salah satu peluang kalau Ibukota negara dipindahkan dari Jakarta ke IKN IDX akan buka bersamaan dengan Straits Times. Selama ini Singapore (GMT+7) buka lebih cepat dari Jakarta (GMT+8) selisih 1 jam itu sangat berarti buat org2 pasar modal.,Sun Jan 14 07:58:24 +0000 2024,salah peluang ibukota negara pindah jakarta kah ikn idx buka straits times singapore gmt buka cepat jakarta gmt selisih jam arti orang pasar modal
